Id,Code,Name,NewSectorName,NewSubSectorName,NewIndustryName,NewSubIndustryName,SectorName,SubSectorName,BoardRecording,HeadOffice,Phone,RepresentativeName,WebsiteUrl,Address,TotalEmployees,ExchangeAdministration,Npwp,Npkp,IsActive,ListingDate,AnnualDividend,GeneralInformation,Fax,FoundingDate,CompanyEmail

989,MARK,Mark Dynamics Indonesia Tbk.,Perindustrian,Barang Perindustrian,Machinery,Mesin & Komponen Perindustrian,BASIC INDUSTRY AND CHEMICALS,"Ceramics, Glass, Porcelain",2,Sumatera Utara,(6261) 794 0715,Christina  //  mdcps@nusa.net.id  //  (6261) 794 0715,www.dynamicsgroup.co.id,"Jl. Pelita Barat No.2, Kawasan Industri Medan Star Jalan Raya Medan Lubuk Pakam Km. 19,5 Tanjung Morawa, Deli Serdang, Sumatera Utara, Indonesia",-,PT. Adimitra Jasa Korpora,02.177.929.3-125.000,,True,12 Jul 2017,0.0,"PT Mark Dynamics Indonesia Tbk (IDX: MARK) didirikan pada tahun 2003. Perusahaan adalah produsen cetakan sarung tangan. Perusahaan memproduksi cetakan dari porselen berbentuk tangan yang oleh pabrik dicelupkan ke dalam larutan karet. Produk utama perusahaan saat ini meliputi: Nitrile dan latex examination former, Surgical former, Household former dan Custom made former. Perusahaan resmi listing di BEI pada tanggal 12 Juli 2017 dan beralamat di Jl. Pelita Barat No.2, Kawasan Industri Medan Star Jalan Raya Medan Lubuk Pakam Km. 19,5 Tanjung Morawa, Deli Serdang, Sumatera Utara.",(6261) 794 0747,2003,mdcps@nusa.net.id

330,MASA,Multistrada Arah Sarana Tbk.,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Ban,"TRADE, SERVICES, & INVESTMENT",Others,1,Jawa Barat,891-40-333 (Ade: 0811-16-70-00) 0811-14-21-25,Yohanes Ade Bunian Moniaga // ade.bm@multistrada.co.id // 0811-16-70-00,-,"Jl. Raya Lemahabang Km. 58,3  Desa Karang Sari, Kec. Kedung Waringin  Cikarang Timur",860,PT. Raya Saham Registrar (dulu bernama PT. Risjad Salim Registra,01.330.132.0-054.000,-,True,09 Jun 2005,2.0,"PT Multistrada Arah Sarana Tbk (IDX: MASA) adalah perusahaan yang bergerak dalam bidang pembuatan ban untuk kendaraan bermotor. Produk Perusahaan didistribusikan secara lokal dan luar negeri, termasuk Timur Tengah, Eropa, Australia, Afrika, Asia dan Amerika. Perusahaan mulai beroperasi secara komersial pada bulan Agustus 1995. Pada tanggal 6 Maret 2019, terjadinya akuisisi yang dilakukan oleh perusahaan ban sala Perancis, Michelin. Perusahaan resmi listing di BEI pada tanggal 09 Juni 2005 dan beralamat di Jl. Raya Lemahabang Km. 58,3 Desa Karang Sari, Kec. Kedung Waringin Cikarang Timur.",021 - 89140758; 891-40851,1988,ade.bm@multistrada.co.id

1194,MASB,Bank Multiarta Sentosa Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,2,"Grha Bank Mas Jl Setiabudi Selatan Kav.7-8, Jakarta Selatan 12920",(021) 57906006,Iwan Yuda Pramudhi // corsec@bankmas.co.id // (021) 57906006,https://bankmas.co.id/,-,-,PT. Adimitra Jasa Korpora,01.596.713.6-073.000,-,True,30-Jun-2021,0.0,"PT Bank Multiarta Sentosa Tbk (IDX: MASB) didirikan pada tanggal 28 Juli 1992. Perusahaan bergerak di bidang perbankan, yang telah memperoleh ijin usaha sebagai Bank Umum pada tahun 1992 dan sebagai Bank Umum Devisa pada tahun 2016. Pada tahun 2013, Bank MAS resmi bergabung dengan Wings Group. Perusahaan resmi listing di BEI pada tanggal 30 Juni 2021 dan beralamat di Grha Bank Mas Jl Setiabudi Selatan Kav.7-8, Jakarta Selatan 12920.",(021) 5790 6005,1992,corsec@bankmas.co.id

1326,MAXI,Maxindo Karya Anugerah Tbk.,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan,CONSUMER GOODS INDUSTRY,Food & Beverages,2,"Kawasan Industri Sentul Jl. Cahaya Raya Kav H5 Leuwinutug, Citeureup. Bogor, Jawa Barat 16180",021 8790 0305,Carolina Renata Djaja // carolina.djaja@gmail.com // +62 816953283,https://maxisnacks.com/,"Kawasan Industri Sentul Jl. Cahaya Raya Kav H5, Desa Leuwinutug, Kec. Citeureup Bogor, Jawa Barat 16180, Indonesia",388,PT. Bima Registra.,01.810.874.6-403.000,-,True,12-Juni-2023,0.0,"PT Maxindo Karya Anugerah Tbk (IDX: MAXI) perseroan bergerak di bidang makanan ringan berbahan dasar umbi-umbian tropis seperti Talas, Ubi Merah, Ubi Ungu, dan Talas dari hasil alam Indonesia, untuk tujuan ekspor seperti Amerika, Eropa, Australia dan China. Produk Perseroan pertama kali hadir di Indonesia pada tahun 1977, dimulai sebagai perusahaan bisnis rumahan di Wilayah Bogor, Jawa Barat. Saat ini, Perseroan memiliki 2 (dua) fasilitas produksi pengolahan snack, dimana keduanya berada di Kabupaten Bogor. Perseroan resmi listing di BEI pada tanggal 12 Juni 2023 dan beralamat di Kawasan Industri Sentul Jl. Cahaya Raya Kav H5, Desa Leuwinutug, Kec. Citeureup Bogor, Jawa Barat 16180",021 8790 4683,11-Juli-2002,corsec@maxisnacks.com

331,MAYA,Bank Mayapada Internasional Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,1,Jakarta,021-5212288,Jennifer Ann // jennifer.ann@bankmayapada.com // 021-5212288,www.bankmayapada.com,"Mayapada Tower Lt. 1 Jl. Jend. Sudirman Kav. 28 Jakarta",1915,-,01.590.695.1-054.000,-,True,29 Agt 1997,0.0,PT Bank Mayapada Internasional Tbk (IDX: MAYA) dibentuk pada 7 September 1989. Perusahaan bergerak dalam kegiatan perbankan dan jasa keuangan lainnya. Bank Mayapada mulai beroperasi secara komersial pada 16 Maret 1990. Perusahaan resmi listing di BEI pada tanggal 29 Agustus 1997 dan beralamat di Mayapada Tower Lt. 1 Jl. Jend. Sudirman Kav. 28 Jakarta.,021-57940100,1989,rudy.mulyono@bankmayapada.com

333,MBAP,Mitrabara Adiperdana Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,MINING,Coal Mining,2,Jakarta Pusat,+6221 63864061,Chandra Lautan // corsec@mitrabaraadiperdana.co.id // +6221 63856211,-,Grha Baramulti Komp.Harmoni Blok 8A Jl.Suryopranoto No.2 Jakarta Pusat 10130 Indonesia,-,PT. Datindo Entrycom,01.589.137.7-091.000,-,True,10 Jul 2014,29.0,"PT Mitrabara Adiperdana Tbk (IDX: MBAP) bergerak dalam bidang Pertambangan batu bara. Perusahaan berafiliasi dengan Baramulti Group dan perusahaan yang beroperasi di Malinau, Kalimantan Utara. Perseroan memulai tahap produksi di tahun 2008. Batubara yang dihasilkan perusahaan berkualitas tinggi dengan nilai kalori (calorific value) menengah, produk ini sangat diminati oleh pasar internasional karena karakteristiknya yang lebih ramah lingkungan. Perusahaan resmi listing di BEI pada tanggal 10 Juli 2014 dan beralamat di Grha Baramulti Komp.Harmoni Blok 8A Jl.Suryopranoto No.2 Jakarta Pusat 10130.",+6221 63864062,1992,corsec@mitrabaraadiperdana.co.id

1319,MBMA,Merdeka Battery Materials Tbk.,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,MINING,Metal & Mineral Mining,2,"Gedung Treasury Tower Lantai 69 District 8 SCBD Lot 28 Jl Jend Sudirman Kav 52-53 DKI Jakarta, 12190",(021) 39525581,Deny Greviartana Wijaya // corsec@merdekabattery.com // corsec@merdekabattery.com,https://www.merdekabattery.com/,"Treasury Tower Lantai 69, District 8, SCBD Lot 28 Jl Jend. Sudirman Kav. 52-53, Jakarta Selatan 12190, DKI Jakarta",1443,PT. Datindo Entrycom.,92.623.737.1-011.000,-,True,18-April-2023,0.0,"PT Merdeka Battery Materials Tbk (IDX: MBMA) perseroan memiliki sumberdaya terbesar di dunia dalam hal kandungan nikel di Tambang Nikel Konawe milik SCM (Tambang SCM) menurut Wood Mackenzie. Perseroan dan Perusahaan Anak (Grup MBM) memiliki berbagai aset signifikan di Sulawesi Tengah dan Tenggara, dalam rantai nilai bahan baku strategis dan ke depannya dalam rantai nilai baterai kendaraan bermotor listrik. Grup MBM didukung oleh sponsor, yang terdiri dari Grup Provident, Grup Saratoga dan Garibaldi Thohir. Perseroan resmi listing di BEI pada tanggal 18 April 2023 dan beralamat kantor di Treasury Tower Lantai 69, District 8, SCBD Lot 28 Jl. Jend. Sudirman Kav. 52-53, Jakarta Selatan 12190.",(021) 39525582,20-Agustus-2019,corsec@merdekabattery.com

334,MBSS,Mitrabahtera Segara Sejati Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,"INFRASTRUCTURE, UTILITIES & TRANSPORTATION",Transportation,1,Jakarta,(021) 57944766,Ratih Safitri // corporate.secretary@mbss.co.id // (021) 57944766,www.mbss.co.id,"Menara Karya, Lantai 12  Jl. H. R. Rasuna Said Block X-5 Kav.1-2, Kuningan    Jakarta 12950",-,PT. Datindo Entrycom,01.641.151.4-073.000,-,True,06 Apr 2011,120.0,"PT Mitrabahtera Segara Sejati Tbk (IDX: MBSS) bergerak dalam bidang penyediaan jasa pengiriman, baik kargo maupun penumpang, pengangkutan minyak dari kilang minyak, penyewaan kapal, biro pengiriman dari perusahaan pelayaran luar negeri, baik untuk pengiriman reguler maupun pengiriman non- reguler, dalam negeri dan luar negeri, agen pengiriman untuk perusahaan pelayaran, kapal tunda, penyewaan peralatan pengiriman dan pengiriman luar negeri. Perusahaan mulai beroperasi secara komersial pada tahun 1994. Perusahaan dimiliki oleh PT. Indika Energy Tbk (IDX: INDY). Perusahaan resmi listing di BEI pada tanggal 06 April 2011 dan beralamat di Menara Karya, Lantai 12 Jl. H. R. Rasuna Said Block X-5 Kav.1-2, Kuningan Jakarta 12950.",(021) 57944768,24 March 1994,mitra@mbss.co.id

335,MBTO,Martina Berto Tbk.,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,Produk Perawatan Tubuh,CONSUMER GOODS INDUSTRY,Cosmetics & Household,1,Jakarta,021-460-3717,Desril Muchtar // corpsecretary@martinaberto.co.id // 4603717,www.martinaberto.co.id,Jl. Pulo Kambing II No.1 Kawasan Industri Pulo Gadung  Jakarta 13930 Indonesia,-,PT. Adimitra Jasa Korpora,01.308.874.5-007.000,-,True,13 Jan 2011,0.0,PT Martina Berto Tbk (IDX: MBTO) bergerak dalam bidang pembuatan dan perdagangan jamu tradisional dan produk kosmetik. Perusahaan mulai beroperasi secara komersial pada bulan Desember 1981. Produk perusahaan dipasarkan di pasar domestik dan internasional. Perusahaan resmi listing di BEI pada tanggal 13Januari 2011 dan beralamat di Jl. Pulo Kambing II No.1 Kawasan Industri Pulo Gadung Jakarta 13930.,021-468-26316,01 June 1977,corpsecretary@martinaberto.co.id

997,MCAS,M Cash Integrasi Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,"TRADE, SERVICES, & INVESTMENT",Retail Trade,2,"AXA Tower Lt. 7, Kuningan City Jl. Prof. Dr. Satrio Kav. 18, Setiabudi Jakarta - 12940",(021) 30480710,Rachel Stephanie Marsaulina Siagian  //  rachel.stephanie@mcash.id  //  (021) 30480710,www.mcash.id,"AXA Tower Lt. 7, Kuningan City Jl. Prof. Dr. Satrio Kav. 18, Setiabudi Jakarta - 12940",-,PT. Raya Saham Registra,03.048.642.7-019.000,-,True,01 Nov 2017,0.0,"PT M Cash Integrasi Tbk (IDX: MCAS) didirikan pada tahun 2010, merupakan perusahaan teknologi plug-and-play berbasis di Indonesia yang menggabungkan infrastruktur digital dengan keterlibatan pelanggan dan menggunakan model bisnis yang terintegrasi dengan menggabungkan O2O (Online-to Offline) dan IoT (Internet of Things). Fokus perusahaan saat ini adalah untuk meningkatkan MCAS dari 1.0 menjadi 4.0 - konsep 4.0 mencakup pertumbuhan besar dan profitabilitas dari pendorong pertumbuhan utama: komunikasi perusahaan, kendaraan listrik, iklan & konten berbasis cloud, teknologi logistik, grosir digital produk fisik, dan Metaverse. Perusahaan resmi listing di BEI pada tanggal 01 November 2017 dan beralamat di Gedung Mangkuluhur City, Tower One, Lantai 7, Suite 1 - 3, Jalan Jendral Gatot Subroto, Kav. 1-3, Karet Semanggi, Setiabudi, Jakarta, 12930.",(021) 30480713,-,rachel.stephanie@mcash.id

1203,MCOL,Prima Andalan Mandiri Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,MINING,Coal Mining,1,"Gedung Office 8, Lantai 28 SCBD Lot. 28, Jl. Jend. Sudirman Kav. 52 - 53, Kebayoran Baru, Jakarta 12190",(021) 29333189,Jie Jeanny Pratiwi // corporate.secretary@mandiricoal.co.id // (021) 29333189,http://www.mandiricoal.co.id/,-,-,PT. Raya Saham Registra,02.415.462.7-036.000,-,True,07-Sep-2021,0.0,"PT Prima Andalan Mandiri Tbk (IDX: MCOL) didirikan pada tanggal 1 Juni 2005. Perusahaan bergerak dalam bidang pertambangan batubara dan jasa pertambangan melalui anak usahanya yang memiliki wilayah eksplorasi dan eksploitasi berlokasi di Kalimantan Utara yaitu Kabupaten Nunukan dan Kabupaten Tana Tidung. Perusahaan memulai kegiatan komersialnya pada tahun 2011. Perusahaan resmi listing di BEI pada tanggal 07 September 2021 dan beralamat di Gedung Office 8, Lantai 28 SCBD Lot. 28, Jl. Jend. Sudirman Kav. 52 - 53, Kebayoran Baru, Jakarta 12190.",(021) 29333191,1989,corporate.secretary@mandiricoal.co.id

336,MCOR,Bank China Construction Bank Indonesia Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,1,Jakarta Pusat,021-50821000,Andreas Herman Basuki // andreas_basuki@bankwindu.com // 6221-51401707 6221-51401211,idn.ccb.com,"Gedung Perkantoran Sahid Sudirman Center Lt. 15,Jl. Jend. Sudirman Kav. 86, Jakarta Pusat, 10220",528,PT. Sinartama Gunita,01.304.214.8-054.000,-,True,03 Jul 2007,0.0,"PT Bank China Construction Bank Indonesia Tbk (IDX: MCOR) didirikan dengan nama awal Bank Multicor pada 2 April 1974. Bank tersebut baru berubah nama menjadi CCB Indonesia setelah China Construction Bank Corporation menjadi pemegang saham pengendali pada 2016. Bank CCB Indonesia efektif menjadi bank kategori BUKU 3 pada 8 Desember 2020 dan resmi listing di BEI pada tanggal 03 Juli 2007 dan beralamat kantor di Gedung Perkantoran Sahid Sudirman Center Lt. 15, Jl. Jend. Sudirman Kav. 86, Jakarta Pusat, 10220.",021-50821010,02 April 1974,corsec@idn.ccb.com

337,MDIA,Intermedia Capital Tbk.,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penyiaran,"TRADE, SERVICES, & INVESTMENT","Advertising, Printing, dan Media",1,Jakarta,(6221) 56101590,David Ticyno Pardede // corsec@imcmedia.co.id // 08111499139,www.imcmedia.co.id,"Jl. H. R. Rasuna Said, Karet Kuningan Setiabudi, Jakarta 12940",-,PT. Sinartama Gunita,02.672.351.0-011.000,-,True,11 Apr 2014,10.0,"PT Intermedia Capital Tbk (IDX: MDIA) perusahaan bersama entitas anak bergerak dibidang media dan hiburan ini (stasiun TV – ANTV) merupakan penyedia jasa konten yang berfokus pada konten keluarga, anak-anak dan hiburan melalui Entitas Anak. Perusahaan didirikan pada tahun 2008 dengan nama PT Magazine Asia yang kemudian berubah pada tahun itu juga menjadi PT Intermedia Capital, dan mulai beroperasi secara komersial pada tahun 2009. Perseroan mencatatkan sahamnya di Bursa Efek Indonesia pada tanggal 11 April 2014 dan beralamat kantor di Jl. H. R. Rasuna Said, Karet Kuningan Setiabudi, Jakarta 12940.",(6221) 29941789,25 February 2008,corsec@imcmedia.co.id

338,MDKA,Merdeka Copper Gold Tbk.,Barang Baku,Barang Baku,Logam & Mineral,Emas,MINING,Metal & Mineral Mining,2,Jakarta Selatan,021 2988 0393,Adi Adriansyah Sjoekri // corporate.secretary@merdekacoppergold.com // 021 2988 0393,www.merdekacoppergold.com,"The Convergence Indonesia, Lantai 20 Rasuna Epicentrum Jl. HR Rasuna Said Jakarta 12940",-,PT. Datindo Entrycom,03.272.012.0-011.000,-,True,19 Jun 2015,0.0,"PT Merdeka Copper Gold Tbk (IDX: MDKA) merupakan perusahaan induk dengan dua anak perusahaan yang bergerak di bidang usaha pertambangan, meliputi eksplorasi dan produksi emas, perak, tembaga dan mineral lainnya di masa depan. Kedua anak perusahaan tersebut adalah PT Bumi Sukesindo (BSI) dan PT Damai Sukesindo (DSI). Aset utama perusahaan adalah proyek pertambangan yang dikenal dengan Proyek Tujuh Bukit yang terletak di Kabupaten Banyuwangi, Jawa Timur, sekitar 205 kilometer tenggara Surabaya. Sebagai perusahaan pertambangan Indonesia kelas dunia, Merdeka dimiliki oleh pemegang saham terkemuka termasuk PT Saratoga Investama Sedaya Tbk (IDX: SRTG), PT Provident Capital Indonesia, dan Garibaldi Thohir. Perusahaan resmi listing di BEI pada tanggal 19 Juni 2015 dan beralamat di Gedung The Convergence Indonesia Lt. 20, Jl. HR. Rasuna Said, Karet Kuningan, Setiabudi, Jakarta Selatan, DKI Jakarta 12940.",021 2988 0392,25 February 2008,corporate.secretary@merdekacoppergold.com

991,MDKI,Emdeki Utama Tbk.,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,BASIC INDUSTRY AND CHEMICALS,Chemicals,2,Jawa Timur,(+62-31) 7507001 / 7508155,"Happy Hapsoro //  corsec@emdeki.co.id  //  (+62-31) 7507001 / 7508155, Fax (+62-31) 7507234",www.emdeki.co.id,"Jl. Raya Krikilan No. 294 RT 011/002, Krikilan, Driyorejo P.O. Box 1625 Gresik 61177, Jawa Timur, Indonesia",-,PT. Adimitra Jasa Korpora,01.060.211.8-641.000,-,True,25 Sep 2017,0.0,"PT Emdeki Utama Tbk (IDX: MDKI) perusahaan yang didirikan pada tahun 1981 oleh para pendiri group PT Metropolitan Development ini memproduksi Kalsium Karbit (Calcium Carbide - CaC2). Produksi komersialnya dimulai pada tanggal 1 Februari 1988. Perusahaan mensuplai sebagian besar kebutuhan karbit di Indonesia. Bahkan sebagian dari hasil produksinya sudah diekspor ke Jepang, India, Amerika Serikat dan lain-lain. Perusahaan resmi listing di BEI pada tanggal 25 September 2017 dan beralamat di Jl. Raya Krikilan No. 294, RT 011, RW 005, Krikilan, Driyorejo, Gresik 61177, Jawa Timur.",(+62-31) 7507234,-,corsec@emdeki.co.id

339,MDLN,Modernland Realty Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,"PROPERTY, REAL ESTATE AND BUILDING CONSTRUCTION",Property and Real Estate,1,Jakarta Barat,021 - 29365888,Cuncun M. Wijaya Wibowo // cuncun.wijaya@modernland.co.id // +6221-29365888,-,"Green Central City, Commercial Area 5th Floor  Jl. Gajah Mada No. 188  Jakarta Barat 11120",-,-,01.369.416.1-054.000,-,True,18 Jan 1993,12.0,"PT Modernland Realty Tbk (IDX: MDLN) bergerak dalam bidang real estat dan pengembangan properti. Perusahaan sebagai developer di bidang akuisisi dan pematangan tanah, pembangunan rumah dan apartemen dengan berbagai sarana dan prasarana, seperti; pusat konsultasi, rumah sakit, sekolah dan pusat perbelanjaan. Perusahaan ini memiliki proyek bernama Kota Modern di Tangerang, Modern Hill, Modern Park, dan rekreasi olahraga (Modern Golf & Country Club, Rumah Sakit Mayapada). Perusahaan mulai beroperasi secara komersial pada tahun 1989. Perusahaan resmi listing di BEI pada tanggal 18 Januari 1993 dan beralamat kantor di Green Central City, Commercial Area 5th Floor Jl. Gajah Mada No. 188 Jakarta Barat 11120.",021 - 29369999,08 August 1983,corporate@modernland.co.id

340,MDRN,Modern Internasional Tbk.,Perindustrian,Jasa Perindustrian,Jasa Komersial,Peralatan Kantor,"TRADE, SERVICES, & INVESTMENT",Wholesale (Durable & Non Durable Goods),1,Jakarta,021-27933378,corpsec@moderninternasional.co.id // 021-2801000,www.moderninternasional.co.id,"Jl.Matraman Raya No.12, Jakarta 13150",2069,PT. EDI Indonesia,01.001.822.4-054.000,-,True,16 Jul 1991,0.0,"PT Modern Internasional Tbk (IDX: MDRN) adalah perusahaan yang bergerak di bidang perdagangan produk pencitraan industry, seperti peralatan medis, seni grafis dan solusi dokumen, dengan membawa berbagai merek. Perusahaan mulai beroperasi secara komersial pada tahun 1971. Perusahaan memiliki anak usaha yang bergerakan di sector perdagangan dan jasa, salah satunya outlet 7 eleven. Perusahaan resmi listing di BEI pada tanggal 16 Juli 1991 dan beralamat di Jl. Matraman Raya No. 12, Jakarta 13150.",021-00000000,12 May 1971,johannis@moderninternasional.co.id

341,MEDC,Medco Energi Internasional Tbk.,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,MINING,Crude Petroleum & Natural Gas Production,1,Jakarta,(021) 2995-3000,Fakhrini Nilamsari // Fakhrini.nilamsari@medcoenergi.com // 021 29953000,www.medcoenergi.com,"Gedung The Energy, Lantai 52-55 SCBD Lot, 11A, Jl. Jend. SUdirman Senayan, Jakarta Selatan 12190",2029,-,01.002.095.6-054.000,-,True,12 Okt 1994,15.66,"PT Medco Energi Internasional Tbk (IDX: MEDC) bergerak dalam bidang eksplorasi dan produksi minyak dan gas bumi dan kegiatan energi lainnya, pengeboran darat dan lepas pantai, dan investasi (langsung dan tidak langsung) pada anak perusahaan. Perusahaan mulai beroperasi secara komersial pada tanggal 13 Desember 1980. Perusahaan resmi listing di BEI pada tanggal 12 Oktober 1994 dan beralamat di Gedung The Energy, Lantai 52 SCBD Lot, 11A, Jl. Jend. Sudirman Kav. 52-53, Senayan, Kebayoran Baru, Jakarta Selatan.",(021) 2995-3001,09 June 1980,medc@medcoenergi.com; corporate.secretary@medcoenergi.com

1255,MEDS,Hetzer Medical Indonesia Tbk.,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan,"TRADE, SERVICES, & INVESTMENT",Health Care,2,"Jl. Mahar Martanegara No. 106, Kel. Cigugur Tengah, Kec. Cimahi Tengah, Kota Cimahi Provinsi Jawa Barat 40522",+62 22 6008749,A. Padmono Budi Sanyoto // info@hetzermedicalindonesia.co.id // +62 22 6008749,https://www.evoplusmed.com,"Jl. Mahar Martanegara No. 106, Kel. Cigugur Tengah Kec. Cimahi Tengah, Kota Cimahi, Provinsi Jawa Barat 40522",166,Sinartama Gunitra,31.284.167.9-421.000,-,True,10-Aug-2022,0.0,"PT Hetzer Medical Indonesia Tbk (IDX: MEDS), Perseroan didirikan pada tanggal 31 Desember 2010 dan mulai resmi beroperasi pada tanggal 1 Maret 2011 dengan memproduksi masker bedah / surgical facemask 3 ply. Perseroan menjadi pelopor di Indonesia yang memproduksi masker kesehatan tipe Ear Loop 4 Dimensi dengan merk dagang Evo Plusmed. Sejak pandemi Covid-19, Perseroan memberikan dukungan kepada pemerintah melalui BIN dan BNPB dalam rangka menekan kelangkaan masker kesehatan di Indonesia. Perseroan juga telah mendapatkan sertifikat CPAKB dalam penerapan sistem manajemen mutu. Selain memproduksi masker, Perseroan juga memproduksi bouffant cap (penutup kepala / topi operasi) dan mendistribusikan hand sanitizer. Perseroan resmi listing di BEI pada tanggal 10 Agustus 2022 dan beralamat di Jl. Mahar Martanegara No. 106, Kel. Cigugur Tengah Kec. Cimahi Tengah, Kota Cimahi, Provinsi Jawa Barat 40522",+62 22 6613426,31-Dec-2010,info@hetzermedicalindonesia.co.id

342,MEGA,Bank Mega Tbk.,Keuangan,Bank,Bank,Bank,FINANCE,Bank,1,Jakarta,7917-5000,Christiana M. Damanik // christiana.damanik@bankmega.com // 021-79175000,www.bankmega.com,Menara Bank Mega  Jl. Kapten Tendean No.12-14A  Jakarta 12970,6111,PT. Datindo Entrycom,01.108.045.4-091.000,-,True,17 Apr 2000,14.36,"PT Bank Mega Tbk (IDX: MEGA) Berawal dari sebuah usaha milik keluarga bernama PT. Bank Karman dan berkedudukan di Surabaya di tahun 1969.pada tahun 1992, berubah nama menjadi PT. Mega Bank dan melakukan relokasi Kantor Pusat ke Jakarta. Seiring dengan perkembangannya, PT. Mega Bank diambil alih oleh PARA GROUP (PT. Para Global Investindo dan PT. Para Rekan Investama) sebuah holding company milik pengusaha nasional - Chairul Tanjung. Selanjutnya PARA GROUP berubah nama menjadi CT Corpora. Entitas induk utama dari Bank Mega adalah CT Corp. perusahaan resmi listing di BEI pada tanggal 17 April 2000 dan beralamat diMenara Bank Mega Jl. Kapten Tendean No.12-14A Jakarta 12970.",7917-5015,26 November 1969,-

1318,MENN,Menn Teknologi Indonesia Tbk.,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",Perangkat & Instrumen Elektronik,MISCELLANEOUS INDUSTRY,Electronics,3,"Mall Ambasador Lt.5 No. 9F Jl. Prof. Dr. Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan, Indonesia - 12940",(021) 5793 9508,Edrick Pramana // corsec@menngroup.id // (021) 5793 9508,https://www.menngroup.id,"Mall Ambasador Lt.5 No. 9F Jl. Prof. Dr. Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan, Indonesia - 12940",3,PT. Bima Registra.,70.658.866.2-011.000,-,True,18-April-2023,0.0,"PT Menn Teknologi Indonesia Tbk (IDX: MENN) perseroan yang berdiri sejak 23 Juni 2014, saat ini bergerak dalam bidang Teknologi Digital Penyedia Solusi Sistem Informasi berbasis Internet of Things. Perseroan resmi listing di BEI tanggal 18 April 2023 dan beralamat Mall Ambasador Lt.5 No. 9F Jl. Prof. Dr. Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan, Indonesia - 12940",-,23-Juni-2014,corsec@menngroup.id

343,MERK,Merck Tbk.,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi,MISCELLANEOUS INDUSTRY,Others,2,Jakarta Timur,28565600,Melisa Sandrianti // contact.id@merckgroup.com // 28565600,www.merck.co.id,"Jl. TB. Simatupang No. 8, Pasar Rebo, Jakarta Timur",802,PT. EDI Indonesia,01.002.148.3-054.000,-,True,23 Jul 1981,6500.0,"PT Merck Tbk (IDX: MERK) bergerak di bidang farmasi dan kimia di Indonesia. Di bidang farmasi, perusahaan memproduksi dan menjual merek terkenal farmasi seperti Neurobion®, Sangobion® dan Glucophage® dengan fasilitas bersertifikat cGMP; dan dalam bidang kimia, perusahaan memasarkan berbagai bahan kimia, pewarna, dan berbagai spesialisasi kimia lainnya. Produksi komersial dimulai pada tahun 1974. Perusahaan yang tergabung dalam Grup Merck, berkantor pusat di Jerman. Perusahaan resmi listing di BEI pada tanggal 23 Juli 1981 dan beralamat di Jl. TB. Simatupang No. 8, Pasar Rebo, Jakarta Timur.",28565601,14 October 1970,margaretha.manik@merckgroup.com

